Year;Jackpots;Total Prize (EUR)
1973;1;0,18
1973;1;0,18
1973;1;0,18
1974;1;0,20
1974;1;0,20
1975;1;0,44
1975;1;0,36
1975;1;0,27
1976;1;0,47
1976;1;0,31
1976;1;0,29
1976;1;0,28
1976;1;0,19
1976;1;0,19
1976;1;0,19
1976;1;0,18
1976;1;0,17
1976;1;0,17
1976;1;0,17
1976;3;0,17
1977;1;0,47
1977;1;0,41
1977;1;0,31
1977;1;0,30
1977;1;0,25
1977;1;0,18
1977;1;0,17
1977;1;0,17
1977;1;0,17
1978;1;0,33
1978;1;0,30
1978;2;0,24
1978;1;0,21
1978;1;0,20
1978;1;0,19
1978;1;0,19
1978;1;0,19
1978;1;0,19
1978;1;0,19
1978;1;0,19
1978;1;0,18
1978;1;0,18
1978;1;0,18
1979;1;0,41
1979;1;0,40
1979;1;0,24
1979;1;0,24
1979;1;0,23
1979;1;0,22
1979;1;0,22
1979;1;0,22
1979;1;0,22
1979;2;0,20
1979;2;0,20
1979;2;0,18
1980;1;0,28
1980;1;0,27
1980;1;0,26
1980;1;0,26
1980;1;0,25
1980;1;0,24
1980;1;0,24
1980;1;0,24
1980;1;0,21
1980;1;0,20
1980;2;0,20
1980;1;0,20
1980;1;0,20
1980;1;0,19
1980;1;0,18
1981;1;0,49
1981;1;0,45
1981;1;0,35
1981;1;0,33
1981;1;0,32
1981;2;0,25
1981;1;0,21
1981;1;0,21
1981;1;0,20
1981;1;0,20
1981;1;0,20
1981;1;0,20
1981;1;0,20
1981;1;0,20
1981;1;0,19
1981;1;0,18
1981;2;0,18
1981;2;0,17
1982;1;0,35
1982;2;0,30
1982;2;0,29
1982;2;0,25
1982;1;0,23
1982;1;0,23
1982;1;0,23
1982;1;0,22
1982;1;0,22
1982;1;0,22
1982;1;0,21
1982;1;0,20
1982;2;0,18
1982;2;0,18
1982;2;0,17
1983;1;0,70
1983;1;0,58
1983;1;0,48
1983;1;0,47
1983;1;0,47
1983;1;0,47
1983;1;0,39
1983;2;0,35
1983;2;0,30
1983;1;0,28
1983;1;0,26
1983;1;0,26
1983;1;0,25
1983;1;0,24
1983;2;0,24
1983;2;0,22
1983;3;0,21
1983;2;0,20
1984;1;0,90
1984;1;0,74
1984;1;0,71
1984;1;0,71
1984;1;0,52
1984;1;0,52
1984;1;0,32
1984;1;0,31
1984;1;0,30
1984;1;0,29
1984;1;0,28
1984;2;0,28
1984;1;0,28
1984;1;0,28
1984;2;0,25
1984;3;0,18
1984;6;0,17
1985;1;0,84
1985;1;0,54
1985;1;0,42
1985;2;0,37
1985;1;0,29
1985;1;0,29
1985;1;0,29
1985;1;0,28
1985;1;0,28
1985;1;0,28
1985;3;0,27
1985;2;0,27
1985;2;0,25
1985;2;0,24
1985;2;0,24
1985;3;0,22
1985;3;0,17
1986;1;1,35
1986;1;1,22
1986;1;1,05
1986;1;0,84
1986;1;0,84
1986;1;0,63
1986;1;0,62
1986;1;0,56
1986;2;0,44
1986;2;0,34
1986;1;0,32
1986;1;0,31
1986;1;0,31
1986;1;0,30
1986;1;0,30
1986;1;0,29
1986;1;0,28
1986;1;0,28
1986;1;0,25
1986;3;0,22
1986;3;0,22
1986;3;0,21
1987;1;1,68
1987;1;1,51
1987;1;1,39
1987;1;1,25
1987;1;1,24
1987;1;0,84
1987;3;0,47
1987;1;0,43
1987;2;0,42
1987;1;0,38
1987;1;0,38
1987;1;0,37
1987;1;0,37
1987;1;0,37
1987;1;0,35
1987;1;0,35
1987;1;0,35
1987;1;0,34
1987;1;0,34
1987;1;0,33
1987;3;0,28
1987;2;0,20
1987;2;0,19
1987;2;0,18
1987;2;0,17
1987;2;0,17
1988;1;1,52
1988;1;1,01
1988;1;1,01
1988;1;0,89
1988;1;0,88
1988;1;0,84
1988;1;0,84
1988;1;0,77
1988;1;0,74
1988;2;0,73
1988;2;0,71
1988;2;0,67
1988;1;0,67
1988;3;0,45
1988;2;0,44
1988;2;0,42
1988;2;0,42
1988;2;0,41
1988;1;0,37
1988;2;0,37
1988;1;0,36
1988;1;0,36
1988;1;0,36
1988;2;0,17
1989;1;2,47
1989;1;1,85
1989;1;0,95
1989;1;0,94
1989;1;0,93
1989;1;0,91
1989;2;0,78
1989;2;0,54
1989;4;0,53
1989;2;0,50
1989;2;0,47
1989;6;0,45
1989;2;0,45
1989;1;0,44
1989;1;0,43
1989;1;0,42
1989;1;0,42
1989;1;0,40
1989;4;0,23
1989;2;0,21
1989;2;0,20
1990;1;2,09
1990;2;1,97
1990;1;1,85
1990;1;1,70
1990;1;1,25
1990;1;1,10
1990;2;0,85
1990;1;0,59
1990;2;0,57
1990;1;0,56
1990;1;0,54
1990;1;0,54
1990;1;0,53
1990;1;0,52
1990;1;0,51
1990;1;0,50
1990;5;0,50
1990;1;0,49
1990;1;0,48
1990;1;0,47
1990;4;0,42
1990;2;0,26
1990;2;0,24
1990;5;0,23
1990;3;0,17
1991;1;3,37
1991;1;2,86
1991;1;1,09
1991;2;0,99
1991;3;0,62
1991;2;0,61
1991;1;0,60
1991;2;0,59
1991;2;0,59
1991;1;0,59
1991;1;0,56
1991;1;0,55
1991;1;0,55
1991;1;0,53
1991;1;0,53
1991;1;0,53
1991;1;0,51
1991;1;0,50
1991;3;0,45
1991;3;0,37
1991;2;0,29
1991;2;0,28
1991;2;0,28
1991;2;0,27
1991;2;0,27
1991;2;0,27
1991;2;0,26
1991;2;0,26
1991;2;0,26
1991;3;0,18
1991;3;0,18
1991;3;0,17
1992;1;2,22
1992;1;2,12
1992;1;1,89
1992;1;1,68
1992;2;1,68
1992;1;1,28
1992;2;0,67
1992;2;0,65
1992;4;0,63
1992;1;0,60
1992;1;0,60
1992;1;0,58
1992;2;0,58
1992;1;0,57
1992;1;0,57
1992;1;0,56
1992;1;0,56
1992;1;0,55
1992;1;0,55
1992;1;0,54
1992;1;0,54
1992;4;0,53
1992;1;0,53
1992;3;0,48
1992;3;0,43
1992;4;0,33
1992;2;0,28
1992;2;0,28
1992;3;0,19
1993;1;1,89
1993;1;1,69
1993;1;1,68
1993;1;1,51
1993;1;1,21
1993;1;1,16
1993;2;1,03
1993;1;1,01
1993;1;1,01
1993;1;1,01
1993;1;1,01
1993;2;0,96
1993;1;0,62
1993;1;0,61
1993;2;0,59
1993;1;0,58
1993;1;0,56
1993;3;0,56
1993;1;0,56
1993;1;0,56
1993;1;0,55
1993;1;0,55
1993;1;0,54
1993;1;0,53
1993;2;0,50
1993;3;0,40
1993;6;0,37
1993;3;0,34
1993;2;0,31
1993;2;0,30
1993;2;0,28
1993;2;0,27
1993;2;0,26
1993;3;0,18
1994;1;1,79
1994;1;1,74
1994;1;1,71
1994;1;1,65
1994;1;1,52
1994;1;1,35
1994;1;1,30
1994;1;1,24
1994;2;1,16
1994;2;1,11
1994;2;0,97
1994;2;0,91
1994;2;0,86
1994;1;0,84
1994;2;0,75
1994;2;0,56
1994;1;0,56
1994;1;0,55
1994;1;0,55
1994;1;0,54
1994;1;0,54
1994;1;0,54
1994;2;0,54
1994;2;0,53
1994;1;0,52
1994;2;0,28
1994;2;0,28
1994;3;0,19
1995;1;2,60
1995;1;2,37
1995;1;2,25
1995;1;1,55
1995;1;1,22
1995;1;1,22
1995;1;1,17
1995;1;1,11
1995;2;1,09
1995;1;1,01
1995;3;0,84
1995;1;0,84
1995;1;0,84
1995;2;0,77
1995;2;0,74
1995;2;0,61
1995;1;0,58
1995;1;0,57
1995;1;0,57
1995;1;0,57
1995;1;0,56
1995;1;0,56
1995;1;0,55
1995;1;0,53
1995;2;0,42
1995;2;0,30
1995;4;0,30
1995;3;0,28
1995;2;0,28
1995;2;0,28
1995;2;0,27
1995;3;0,19
1995;3;0,19
1995;3;0,18
1996;1;2,66
1996;3;1,55
1996;1;1,39
1996;1;1,38
1996;1;1,34
1996;1;1,33
